照片,组别,角点,内角点区域,倾角,单张RMS,丢包,结论
frame_0001.png,约 3 m,9×6,0.91%,2.8°,0.0376 px,0,采用
frame_0002.png,约 3 m,9×6,0.91%,2.4°,0.0524 px,0,采用
frame_0003.png,约 3 m,9×6,0.88%,2.3°,0.0522 px,0,采用
frame_0004.png,约 3 m,9×6,0.76%,32.4°,0.1307 px,0,采用
frame_0005.png,约 3 m,9×6,0.79%,23.0°,0.1073 px,0,采用
frame_0006.png,约 3 m,9×6,0.85%,11.9°,0.0666 px,0,采用
frame_0007.png,约 3 m,9×6,0.86%,14.0°,0.0554 px,0,采用
frame_0008.png,约 3 m,9×6,0.87%,6.0°,0.0557 px,0,采用
frame_0009.png,约 3 m,9×6,0.91%,16.3°,0.0476 px,0,采用
frame_0010.png,约 3 m,9×6,0.88%,3.8°,0.0447 px,0,采用
frame_0011.png,约 2 m,9×6,1.98%,1.6°,0.0423 px,0,采用
frame_0012.png,约 2 m,9×6,1.91%,10.8°,0.0627 px,0,采用
frame_0013.png,约 2 m,9×6,1.76%,23.1°,0.0971 px,0,采用
frame_0014.png,约 2 m,9×6,1.92%,12.6°,0.0517 px,0,采用
frame_0015.png,约 2 m,9×6,1.81%,23.8°,0.0826 px,0,采用
frame_0016.png,约 2 m,9×6,1.87%,1.8°,0.0654 px,0,采用
frame_0017.png,约 2 m,9×6,1.85%,2.9°,0.0547 px,0,采用
frame_0018.png,约 2 m,9×6,1.80%,5.5°,0.0463 px,0,采用
frame_0019.png,约 2 m,9×6,1.88%,18.5°,0.0486 px,0,采用
frame_0020.png,约 2 m,9×6,1.85%,2.8°,0.0421 px,0,采用
frame_0021.png,约 1 m,9×6,6.27%,5.1°,0.0869 px,0,采用
frame_0022.png,约 1 m,9×6,5.99%,5.2°,0.1448 px,0,采用
frame_0023.png,约 1 m,9×6,5.93%,5.8°,0.1292 px,0,采用
frame_0024.png,约 1 m,9×6,5.45%,15.7°,0.1338 px,0,采用
frame_0025.png,约 1 m,9×6,4.84%,28.7°,0.1882 px,0,采用
frame_0026.png,约 1 m,9×6,6.04%,11.9°,0.0924 px,0,采用
frame_0027.png,约 1 m,9×6,5.77%,25.4°,0.1496 px,0,采用
frame_0028.png,约 1 m,9×6,6.50%,19.0°,0.0908 px,0,采用
frame_0029.png,约 1 m,9×6,6.74%,2.4°,0.0996 px,0,采用
frame_0030.png,约 1 m,9×6,6.55%,19.5°,0.0926 px,0,采用
frame_0031.png,约 0.5 m,9×6,19.73%,10.0°,0.2427 px,0,采用
frame_0032.png,约 0.5 m,9×6,18.56%,14.7°,0.2157 px,0,采用
frame_0033.png,约 0.5 m,9×6,18.94%,13.6°,0.2355 px,0,采用
frame_0034.png,约 0.5 m,9×6,19.01%,15.2°,0.2336 px,0,采用
